Year,FMV,Count
2007,FELONY,18
2007,MISDEMEANOR,3
2007,VIOLATION,1
2008,FELONY,24
2008,MISDEMEANOR,10
2009,FELONY,28
2009,MISDEMEANOR,10
2009,VIOLATION,2
2010,FELONY,36
2010,MISDEMEANOR,17
2010,VIOLATION,2
2011,FELONY,57
2011,MISDEMEANOR,29
2011,VIOLATION,1
2012,FELONY,75
2012,MISDEMEANOR,40
2012,VIOLATION,6
2013,FELONY,129
2013,MISDEMEANOR,87
2013,VIOLATION,18
2014,FELONY,434
2014,MISDEMEANOR,278
2014,VIOLATION,69
2015,FELONY,64328
2015,MISDEMEANOR,107549
2015,VIOLATION,26638
